app,Uber Driver,Bolt Driver,Glover,Takeaway.com Courier,Bolt Courier,Wolt Courier Partner,DeliGoo Courier,Google Chrome
January 2018,32158,21939,0,7252,0,2358,125,16589458
February 2018,33035,22412,0,7474,0,2412,174,16675450
March 2018,33269,22798,0,7857,0,2427,225,16923135
April 2018,34176,23054,0,7946,0,2513,266,16926870
May 2018,34958,23292,0,8105,0,2585,319,17237199
June 2018,35238,24218,0,8413,0,2668,382,17418124
July 2018,35835,26732,0,8635,0,2731,407,17727295
August 2018,35996,27270,0,8891,0,2779,490,17758060
September 2018,36442,27414,0,9160,0,2810,537,17996132
October 2018,36809,28232,0,9170,0,2856,634,18023981
November 2018,37028,28345,0,9289,0,2958,703,18113649
December 2018,37610,28796,0,9635,0,2986,733,18444677
January 2019,38377,29461,0,9907,0,3000,825,18564110
February 2019,39123,29862,0,10306,0,3099,845,18807902
March 2019,39370,30516,0,10425,0,3165,885,19115198
April 2019,40004,31079,0,10562,0,3313,829,19119182
May 2019,40517,31681,0,10634,0,3464,827,19452487
June 2019,40953,32460,0,10660,0,3553,901,19518207
July 2019,41450,33324,1586,10776,0,3595,897,19748643
August 2019,41670,33877,1892,10960,0,3674,851,20106304
September 2019,41809,34020,2286,11236,0,3703,859,20301944
October 2019,41927,34295,2289,11556,0,3770,838,20382674
November 2019,42117,34859,2343,11900,0,3829,829,20724844
December 2019,42406,35410,2694,11935,0,3909,843,20986249
January 2020,43008,35489,2825,12103,0,4093,932,21164822
February 2020,43443,36391,2996,12120,0,4199,975,21479103
March 2020,43733,36803,3354,12281,0,4277,1064,21697465
April 2020,44064,37191,3900,12820,567,4525,1129,21940800
May 2020,44343,37652,4322,13254,584,4771,1202,22274992
June 2020,44835,37715,4975,13380,726,5121,1286,22662926
July 2020,45082,38075,5201,13415,917,5300,1331,22874807
August 2020,45557,38250,5372,13660,1013,5353,1373,22890924
September 2020,45689,38381,6151,13667,1099,5494,1395,22995948
October 2020,45769,38449,6393,13708,1113,5645,1453,23129279
November 2020,45972,38690,6522,13911,1276,5655,1551,23549574
December 2020,46391,39022,6925,13997,1388,5681,1637,23809749
January 2021,46073,39213,7422,14186,1401,5745,1428,24005765
February 2021,46182,39489,7587,14248,1658,5975,1511,24307492
March 2021,46339,39867,7607,14548,1715,5998,1685,24636166
April 2021,46433,40200,7776,14698,1859,6258,1785,24886712
May 2021,46569,38704,7858,14951,1928,6845,1898,25242137
June 2021,46766,38941,7872,15208,2158,7158,1914,25727185